index,period_bin,radius_bin,period,radius_earth,t0,b,rp_rs,a_rs,duration,u1,u2,recovered,match,n_transits_in_data,found_period,found_t0,found_depth,found_sde,found_snr,found_detected,found_brightening_ratio,n_detections,n_skipped_variability,skipped_variability_at_period,runtime_s
816,1,3,0.9557804242740121,1.765602872514301,1325.9490514849242,0.3317542314160313,0.022944969829431793,5.2116587978782585,0.056934070441175336,0.4,0.2,True,exact,54,0.9557763828943401,1354.6227242202056,0.0005345035350373673,17.324325360127563,47.680546605102585,True,0.04920756001418298,1,0,False,12.83642926000175
817,1,3,1.129738698184799,2.018177904021762,1325.9793430178543,0.09681577808078506,0.02622731976656894,5.826251456620832,0.06339469798993504,0.4,0.2,True,exact,46,1.1297859390544682,1354.2230525639038,0.000708047967500236,15.732326595741098,61.12146430913002,True,0.06334156739879972,1,0,False,12.809244899999612
818,1,3,0.86240068849231,2.104343192736568,1325.8385100792655,0.5757417971590492,0.027347084567976448,4.866424059907158,0.04858906845720915,0.4,0.2,True,exact,61,0.8624093024870836,1354.2976766946156,0.0007148812860052756,18.267028650086807,64.17832115836435,True,0.04101159024770227,1,0,False,13.114447401003417
819,1,3,0.9736049024154393,1.963502142651414,1326.0103070254224,0.4947883053065494,0.02551677850353999,5.276254338795382,0.05325573043835694,0.4,0.2,True,exact,54,0.9736141125027049,1354.2444633501204,0.0006360632106869879,17.416197511549893,56.78902004368224,True,0.07716451585818075,1,2,False,12.88862073600103
820,1,3,0.8042260112706086,1.951647203218053,1325.7346714827738,0.5499246545281992,0.02536271711642815,4.64503828571139,0.04831841535658496,0.4,0.2,True,exact,65,0.8042050579691189,1353.8828076789612,0.0006512677571043346,18.50641203736476,60.902201310298075,True,0.035581670520988096,1,0,False,12.972052466000605
821,1,3,1.0003909511190916,2.0543629446432616,1325.4061694300085,0.09931903011244023,0.02669756405437684,5.372590305494002,0.06094895278102125,0.4,0.2,True,exact,51,1.000360280890204,1354.4178886916911,0.0007217635298197855,16.8201407543558,63.682392316610034,True,0.06876678319428432,1,0,False,12.807221025999752
822,1,3,1.0428638571288595,1.8157608501140243,1326.2150032557875,0.47254072580581535,0.023596800034653462,5.523600985447315,0.05502049688838493,0.4,0.2,True,exact,51,1.042880626596194,1354.3725091306392,0.0005529643809439877,17.09424498735549,46.51515812680836,True,0.08337665827173761,1,0,False,13.149406434997218
823,1,3,0.8751564656193696,1.9383077266998092,1325.6374504550945,0.13672030876779553,0.025189363362299023,4.914292754452916,0.05803586550302688,0.4,0.2,True,exact,59,0.8751578368154767,1354.517141348286,0.0006541182064916384,17.86456529669375,61.17961092727466,True,0.028153172778718077,1,0,False,12.788475227996969
824,1,3,1.1716713177558273,1.9533782214860167,1326.408665445753,0.035725669555449514,0.025385212640507162,5.969543024925928,0.06434316944370992,0.4,0.2,True,exact,43,1.171684087686149,1354.5285096920095,0.0006742663886216693,16.180526375872354,52.9688345897956,True,0.05954108091568169,1,0,False,12.75301546999981
825,1,3,1.0732027242831095,1.7603340307416162,1325.8144584412078,0.7683729468559471,0.0228764983643066,5.630216111467232,0.041455363583730746,0.4,0.2,True,exact,47,1.0732383720751206,1353.7167163448285,0.00045659362235173084,17.77203627564426,32.649750187304214,True,0.08359926266697884,1,1,False,13.273802383999282
826,1,3,1.2023457441740129,2.099592950502607,1326.186498386245,0.6787493909998151,0.027285352585978983,6.073282290756936,0.049033380510746016,0.4,0.2,True,exact,39,1.2023110686181873,1353.8413242907604,0.0007097342456953148,16.1653149665204,51.453380697747136,True,0.06781077206020471,1,0,False,12.552273113997217
827,1,3,0.8864083851912837,2.171398317541636,1325.3832410905136,0.18945627611162813,0.02821850239330546,4.956325169783151,0.05798127029344098,0.4,0.2,True,exact,59,0.8864070799375503,1353.7480530413768,0.0008287733067041669,18.166492946705176,76.37661532196098,True,0.029696519123642597,1,0,False,12.962999073999526
828,1,3,1.116394658869497,2.3286175149597597,1325.3873261574777,0.22530997221313973,0.030261651392167948,5.78028236772036,0.06216876835368107,0.4,0.2,True,exact,46,1.1164266899936977,1354.413701152378,0.000979164559994139,16.174869387784145,76.63688939542551,True,0.0370852517775914,1,0,False,12.934621354997944
829,1,3,1.150454527338165,2.238521047013436,1325.9177645696134,0.8913814210984892,0.029090798778056093,5.897258874376223,0.03234735452497061,0.4,0.2,True,exact,44,1.1504590426186503,1354.6789426530083,0.0006488466895717693,19.546914146557782,42.79814030335715,True,0.0526966160558424,1,0,False,13.329266600001574
830,1,3,0.8402488623675157,1.954367048480886,1325.785313988896,0.5607476698906577,0.025398062985234733,4.782729765857777,0.048608928137297065,0.4,0.2,True,exact,62,0.8402539430855792,1354.3534834649518,0.0006199573236583822,18.55157558469727,56.2295568649303,True,0.05643813156738889,1,0,False,13.045236013000249
831,1,3,1.2022468345262982,1.93638064616275,1325.5980103033514,0.5236082313531777,0.02516431990237378,6.0729492116066535,0.05594561120551656,0.4,0.2,True,exact,41,1.2022516659272418,1354.4519102156291,0.0006564606167077658,16.048121626428905,47.263386355892024,True,0.0859113804269101,1,0,False,12.818693746001372
832,2,3,1.4078607837257753,2.208543773895712,1325.596637222566,0.6362509734570906,0.028701227806031498,6.746994592584233,0.05406126911234866,0.4,0.2,True,exact,37,1.407873546061879,1353.7537135504463,0.000736898097256744,17.382706229643922,52.117671600053825,True,0.06441117226411254,1,0,False,12.982594733999576
834,2,3,1.7118422528632122,2.1282304197822857,1326.0214102603704,0.3385400460004123,0.027657512078264914,7.6862242083668075,0.06903803583374139,0.4,0.2,True,exact,31,1.7117267602014328,1353.4109541257649,0.0008083108960166285,15.040038418622295,53.02317594511762,True,0.05295018035870543,1,0,False,12.899858869997843
833,2,3,1.3788852506015112,1.7970777462035796,1325.6523265997512,0.41610683810343746,0.0233540029355896,6.654099720032775,0.06199655391174356,0.4,0.2,True,exact,37,1.3789250524783216,1354.60900727292,0.000541096700407695,16.666696633165998,38.196277566409655,True,0.1316680457014224,1,0,False,13.154615447998367
835,2,3,1.730770845150804,2.152368900690211,1326.641925501471,0.6287560216856298,0.02797120476917674,7.742780272407776,0.058165519382673427,0.4,0.2,True,exact,30,1.7307978304948308,1354.3339297921261,0.000745990693498233,15.320485836050748,52.268483416341276,True,0.07105301197311387,1,0,False,12.896434952999698
836,2,3,1.8367094475031815,1.7919698239036153,1326.8224751233756,0.0760334619066972,0.023287622706553802,8.05559321656273,0.07426368096227065,0.4,0.2,True,exact,28,1.8367014359731193,1354.3730662521386,0.0005506578864294953,15.071334297927999,35.794440392882656,True,0.08116285512631573,1,0,False,12.85755809499824
837,2,3,1.9678915823669614,1.8127522503477809,1326.5673237445708,0.09871976578421039,0.023557701643990455,8.434732870521543,0.07584980553315925,0.4,0.2,True,exact,27,1.9677114241313705,1354.117379650381,0.00056768589873335,14.96749634369521,39.252267271368915,True,0.13737320075643827,1,0,False,13.01409488599893
838,2,3,1.5949955348221714,2.276285147589331,1326.3632900647035,0.7319115549770836,0.029581563808991736,7.332355876615712,0.05047358965148969,0.4,0.2,True,exact,29,1.59499959546223,1353.4781628353999,0.0007685025839874182,16.70722956767969,48.71107578897518,True,0.06527473212801914,1,0,False,13.050032287999784
839,2,3,1.4931102532337686,2.0510728067493056,1326.7662338989926,0.06387264640984612,0.026654806922585365,7.016682187769436,0.06965727064906696,0.4,0.2,True,exact,35,1.4930588330498962,1353.6405724574402,0.000741277054941647,15.978945653256721,58.08857341914905,True,0.07702988273746732,1,2,False,13.241311296998902
840,2,3,1.3922143825840878,2.2873651859428565,1325.3363774795669,0.15642263549483373,0.029725554935019157,6.696912608165244,0.06762995942198642,0.4,0.2,True,exact,36,1.3922058898727265,1354.5721496498693,0.0009308303270691987,16.329569175030528,70.0589111909658,True,0.049041323963919234,1,0,False,12.928924363000988
841,2,3,1.786825946189576,1.9936180990304004,1325.9071991976243,0.19480278740355328,0.02590815173998942,7.909069424211907,0.07265323278465215,0.4,0.2,True,exact,31,1.7867996809525781,1354.4968864827833,0.000677578266215173,14.652520245843546,50.43581833305469,True,0.08090252594304782,1,0,False,12.69253524099986
842,2,3,1.8801767345788203,2.2258989144914656,1325.832626486722,0.8581464159901915,0.02892676729939902,8.182192080431305,0.04178757763398603,0.4,0.2,True,exact,25,1.8801773357861242,1354.0351005826674,0.0006380304658298863,16.693992930399332,35.27622201246063,True,0.09511049460786417,1,0,False,13.255937387999438
843,2,3,1.7926592827768344,1.8701953629055263,1326.1230884378012,0.606768841685189,0.02430420614115928,7.9262735611440185,0.05969402241294721,0.4,0.2,True,exact,29,1.792724426518854,1354.8055495993437,0.0005527284849132785,15.640196372251651,38.872992530621325,True,0.07132217207464657,1,0,False,13.140984222998668
